                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.84576,                 4.4794,                 1.1677,                      0,                      0,                      0,                      0,                0.48894,                 4.0983,                0.87366,             5.7377e-05,             5.7377e-05,             5.7377e-05
                      1,                0.68031,                 4.0194,                 1.0377,                  0.026,                0.77784,                0.06733,                0.06217,                0.50033,                 3.5051,                0.89356,             0.00011533,             0.00011533,             0.00011533
                      2,                0.68319,                 3.5734,                 1.0598,                0.26854,                0.32599,                0.15736,                0.13918,                0.52859,                 2.7894,                0.96849,              0.0001729,              0.0001729,              0.0001729
                      3,                0.70728,                 3.0989,                 1.1128,                0.21494,                0.50501,                0.25351,                0.22505,                0.53147,                 2.2676,                  1.009,             0.00017327,             0.00017327,             0.00017327
                      4,                0.69308,                 2.6891,                 1.1166,                0.27829,                  0.657,                0.40275,                0.36217,                0.52502,                 1.9206,                 1.0172,             0.00017327,             0.00017327,             0.00017327
                      5,                0.70718,                 2.4015,                 1.1288,                0.36655,                0.73143,                 0.5177,                0.46073,                0.51439,                 1.7211,                 1.0108,             0.00017269,             0.00017269,             0.00017269
                      6,                0.68373,                 2.1728,                 1.1166,                0.46263,                0.76084,                0.59878,                0.52406,                0.51056,                 1.5608,                0.99455,             0.00017211,             0.00017211,             0.00017211
                      7,                0.67155,                 1.9785,                 1.1102,                0.51849,                0.76925,                0.69796,                0.61919,                   0.51,                 1.3976,                 1.0076,             0.00017154,             0.00017154,             0.00017154
                      8,                0.64679,                 1.7908,                 1.0926,                0.58541,                0.83635,                0.75957,                 0.6768,                0.49994,                 1.2523,                0.99111,             0.00017096,             0.00017096,             0.00017096
                      9,                0.63111,                 1.6689,                 1.0782,                 0.6273,                0.84753,                0.81205,                0.72943,                 0.5038,                 1.1489,                0.98285,             0.00017038,             0.00017038,             0.00017038
                     10,                 0.6161,                 1.5043,                 1.0664,                0.72292,                0.88221,                 0.8776,                 0.7898,                0.48237,                0.93441,                0.97595,              0.0001698,              0.0001698,              0.0001698
                     11,                0.59459,                 1.3949,                 1.0482,                0.75013,                0.84665,                0.89194,                0.79912,                0.49472,                0.93924,                 0.9773,             0.00016922,             0.00016922,             0.00016922
                     12,                0.60087,                 1.3202,                 1.0518,                0.82561,                0.86734,                0.92158,                0.82703,                0.48602,                0.81683,                0.97283,             0.00016865,             0.00016865,             0.00016865
                     13,                0.59559,                 1.2534,                 1.0422,                0.84637,                0.90579,                0.94719,                0.84972,                0.46676,                0.70925,                0.95554,             0.00016807,             0.00016807,             0.00016807
                     14,                0.57461,                 1.1383,                 1.0364,                 0.8938,                 0.9091,                0.96237,                0.86796,                0.45652,                0.64213,                0.95184,             0.00016749,             0.00016749,             0.00016749
                     15,                0.58214,                 1.1283,                  1.036,                0.91604,                0.91616,                0.97006,                0.87351,                0.46985,                 0.6461,                0.95504,             0.00016691,             0.00016691,             0.00016691
                     16,                0.57393,                 1.0679,                 1.0271,                0.91632,                0.92633,                0.97454,                0.88039,                0.47662,                0.57518,                0.95529,             0.00016634,             0.00016634,             0.00016634
                     17,                0.57185,                 1.0417,                 1.0305,                0.91575,                0.91317,                0.96863,                0.87332,                0.45324,                0.57138,                 0.9369,             0.00016576,             0.00016576,             0.00016576
                     18,                0.56769,                0.99367,                 1.0195,                0.93231,                0.92901,                0.98106,                0.88311,                0.45665,                0.53069,                0.94228,             0.00016518,             0.00016518,             0.00016518
                     19,                0.56818,                0.96831,                 1.0238,                0.94085,                0.94181,                0.98327,                0.88752,                0.45182,                0.49395,                0.93957,              0.0001646,              0.0001646,              0.0001646
                     20,                0.56176,                0.92744,                 1.0272,                0.95055,                0.93844,                  0.985,                0.89025,                0.45637,                 0.4815,                0.94167,             0.00016403,             0.00016403,             0.00016403
                     21,                0.56054,                0.91334,                 1.0183,                  0.955,                0.93657,                0.98287,                0.88687,                0.45078,                0.48849,                 0.9359,             0.00016345,             0.00016345,             0.00016345
                     22,                0.56654,                0.89292,                 1.0214,                0.95219,                0.95569,                0.98528,                0.89333,                0.44635,                0.46007,                0.93254,             0.00016287,             0.00016287,             0.00016287
                     23,                0.54575,                0.85991,                 1.0112,                0.95291,                0.95544,                0.98775,                0.89055,                0.45209,                 0.4991,                0.93614,             0.00016229,             0.00016229,             0.00016229
                     24,                0.54989,                0.83768,                 1.0014,                0.93819,                 0.9509,                0.98562,                0.88925,                0.44872,                0.48306,                0.93268,             0.00016172,             0.00016172,             0.00016172
                     25,                0.54584,                 0.8213,                 1.0098,                0.96251,                0.96251,                0.98897,                0.89146,                0.44809,                0.42879,                0.93354,             0.00016114,             0.00016114,             0.00016114
                     26,                0.54078,                0.80301,                 1.0079,                0.95541,                0.97162,                0.98894,                0.89633,                0.43601,                 0.4262,                0.92591,             0.00016056,             0.00016056,             0.00016056
                     27,                0.54671,                0.79154,                 1.0079,                0.97133,                0.96996,                0.99021,                0.89516,                0.44411,                0.41689,                0.93115,             0.00015998,             0.00015998,             0.00015998
                     28,                0.54631,                0.77663,                 1.0013,                0.95882,                0.95823,                 0.9877,                0.89699,                0.43763,                0.41832,                0.92257,             0.00015941,             0.00015941,             0.00015941
                     29,                0.54335,                  0.771,                0.99983,                0.96767,                0.95166,                 0.9886,                 0.8966,                0.43508,                0.40414,                0.92897,             0.00015883,             0.00015883,             0.00015883
                     30,                0.54371,                0.76344,                 1.0042,                0.96543,                0.96222,                0.98949,                0.89179,                0.45124,                0.40752,                0.93507,             0.00015825,             0.00015825,             0.00015825
                     31,                0.53741,                0.74314,                0.99596,                0.96291,                0.96807,                0.99074,                0.89984,                 0.4356,                0.40388,                0.92161,             0.00015767,             0.00015767,             0.00015767
                     32,                 0.5314,                0.73614,                 1.0001,                0.96687,                0.97082,                0.99024,                0.89525,                  0.441,                0.38468,                0.93109,              0.0001571,              0.0001571,              0.0001571
                     33,                0.54317,                0.74783,                 1.0074,                0.96198,                0.97203,                0.99068,                  0.897,                0.43674,                0.38585,                0.92269,             0.00015652,             0.00015652,             0.00015652
                     34,                0.52716,                0.70746,                0.99189,                0.98318,                0.96262,                0.99011,                0.89961,                0.43964,                0.37302,                0.92958,             0.00015594,             0.00015594,             0.00015594
                     35,                0.53261,                0.70897,                0.99374,                0.96789,                 0.9697,                0.99034,                0.89723,                0.43441,                0.38711,                0.92413,             0.00015537,             0.00015537,             0.00015537
                     36,                0.53562,                0.70729,                 0.9992,                0.96341,                0.97171,                0.99031,                0.89315,                0.44311,                0.38584,                0.93065,             0.00015479,             0.00015479,             0.00015479
                     37,                0.53267,                0.71457,                 1.0067,                0.97643,                0.96192,                0.99059,                 0.8985,                0.44225,                0.37486,                0.92526,             0.00015421,             0.00015421,             0.00015421
                     38,                 0.5224,                0.67671,                0.99047,                0.97714,                0.96784,                0.99003,                0.89823,                  0.443,                0.37632,                0.92736,             0.00015363,             0.00015363,             0.00015363
                     39,                0.52467,                0.67487,                0.98948,                0.97118,                0.95982,                0.98888,                0.89573,                0.43259,                0.36746,                0.91881,             0.00015305,             0.00015305,             0.00015305
                     40,                0.51955,                0.67066,                0.98516,                0.96902,                0.97474,                0.99008,                0.90199,                0.43488,                0.35592,                0.92022,             0.00015248,             0.00015248,             0.00015248
                     41,                0.51596,                 0.6682,                0.98626,                0.96492,                0.97028,                0.99054,                0.90392,                0.43456,                0.35853,                0.92228,              0.0001519,              0.0001519,              0.0001519
                     42,                0.52305,                0.65992,                0.98655,                0.97111,                0.95966,                0.98962,                0.90025,                0.44092,                0.36777,                0.92296,             0.00015132,             0.00015132,             0.00015132
                     43,                0.51993,                0.65025,                0.98879,                0.97504,                0.97433,                0.99092,                0.89732,                0.44336,                0.35752,                0.92853,             0.00015074,             0.00015074,             0.00015074
                     44,                0.51271,                0.63575,                0.97648,                0.97938,                0.96636,                0.99054,                0.90031,                0.42812,                0.34297,                0.91472,             0.00015017,             0.00015017,             0.00015017
                     45,                0.52564,                0.64828,                0.98935,                0.97902,                0.97181,                0.99124,                0.90045,                0.43336,                0.33722,                0.91878,             0.00014959,             0.00014959,             0.00014959
                     46,                0.52222,                0.63381,                0.98886,                0.97443,                0.97361,                0.99156,                0.89686,                0.44401,                0.35417,                 0.9335,             0.00014901,             0.00014901,             0.00014901
                     47,                0.51203,                0.63458,                0.98307,                0.97413,                0.97678,                 0.9902,                0.90137,                0.42915,                0.33253,                0.91937,             0.00014844,             0.00014844,             0.00014844
                     48,                0.50269,                0.60323,                0.97295,                0.97753,                0.97424,                0.99115,                 0.9026,                0.42543,                0.33696,                 0.9144,             0.00014786,             0.00014786,             0.00014786
                     49,                0.51188,                 0.6123,                0.97895,                0.98145,                0.97232,                0.99119,                0.89884,                0.43525,                0.32989,                0.92129,             0.00014728,             0.00014728,             0.00014728
                     50,                0.50576,                0.60652,                0.98622,                0.97169,                0.97709,                0.99089,                0.90095,                0.43151,                0.33386,                0.92057,              0.0001467,              0.0001467,              0.0001467
